Date_Time_UTC_,SoilVolumetricWaterContent10Cm___
1/11/2024 0:00,24.59623656
1/12/2024 0:00,24.71934028
1/13/2024 0:00,24.42256944
1/14/2024 0:00,24.28697917
1/15/2024 0:00,23.84847222
1/16/2024 0:00,23.56350694
1/17/2024 0:00,23.43899306
1/18/2024 0:00,23.43090278
1/19/2024 0:00,23.62638889
1/20/2024 0:00,23.48135417
1/21/2024 0:00,23.35072917
1/22/2024 0:00,35.11270833
1/23/2024 0:00,27.79875
1/24/2024 0:00,34.8315625
1/25/2024 0:00,33.87815972
1/26/2024 0:00,27.29253472
1/27/2024 0:00,26.50920139
1/28/2024 0:00,25.83618056
1/29/2024 0:00,25.47642361
1/30/2024 0:00,25.34302083
1/31/2024 0:00,25.23861111
2/1/2024 0:00,25.16017361
2/2/2024 0:00,25.17518519
2/3/2024 0:00,27.42503546
2/4/2024 0:00,26.40767361
2/5/2024 0:00,25.83520833
2/6/2024 0:00,25.59208333
2/7/2024 0:00,25.49204861
2/8/2024 0:00,25.49604167
2/9/2024 0:00,25.52427083
2/10/2024 0:00,25.4928125
2/11/2024 0:00,25.40052083
2/12/2024 0:00,25.01725694
2/13/2024 0:00,24.59568773
2/14/2024 0:00,24.40815972
2/15/2024 0:00,24.41086806
2/16/2024 0:00,24.489375
2/17/2024 0:00,24.14319444
2/18/2024 0:00,23.35586806
2/19/2024 0:00,22.74572917
2/20/2024 0:00,22.17381944
2/21/2024 0:00,21.60024306
2/22/2024 0:00,20.77550505
2/23/2024 0:00,19.285
2/24/2024 0:00,17.68229167
2/25/2024 0:00,16.41125
2/26/2024 0:00,15.52704861
2/27/2024 0:00,15.04055556
2/28/2024 0:00,14.60302083
2/29/2024 0:00,13.96295139
3/1/2024 0:00,13.55888889
3/2/2024 0:00,13.33006944
3/3/2024 0:00,13.18180556
3/4/2024 0:00,13.05756944
3/5/2024 0:00,12.88868056
3/6/2024 0:00,12.55954861
3/7/2024 0:00,12.38649306
3/8/2024 0:00,12.2578125
3/9/2024 0:00,12.00729167
3/10/2024 0:00,11.6828125
3/11/2024 0:00,11.50815972
3/12/2024 0:00,11.48513889
3/13/2024 0:00,11.47329861
3/14/2024 0:00,11.51381944
3/15/2024 0:00,11.46888889
3/16/2024 0:00,11.40177083
3/17/2024 0:00,10.99357639
3/18/2024 0:00,10.24375
3/19/2024 0:00,10.16111111
3/20/2024 0:00,10.29253472
3/21/2024 0:00,10.41090164
3/22/2024 0:00,10.49520833
3/23/2024 0:00,10.93819444
3/24/2024 0:00,11.14996528
3/25/2024 0:00,11.05052083
3/26/2024 0:00,11.27430556
3/27/2024 0:00,11.29975694
3/28/2024 0:00,11.17809028
3/29/2024 0:00,11.34552083
3/30/2024 0:00,11.41152778
3/31/2024 0:00,11.31864583
4/1/2024 0:00,11.31201389
4/2/2024 0:00,11.26201389
4/3/2024 0:00,11.11555556
4/4/2024 0:00,10.98427083
4/5/2024 0:00,10.93142361
4/6/2024 0:00,10.89503472
4/7/2024 0:00,10.83857639
4/8/2024 0:00,10.819375
4/9/2024 0:00,10.82326389
4/10/2024 0:00,10.62652778
4/11/2024 0:00,10.56649306
4/12/2024 0:00,10.71684028
4/13/2024 0:00,10.8915625
4/14/2024 0:00,10.99923611
4/15/2024 0:00,11.08871528
4/16/2024 0:00,10.99072917
4/17/2024 0:00,10.80260417
4/18/2024 0:00,10.81378472
4/19/2024 0:00,10.83048611
4/20/2024 0:00,10.57454861
4/21/2024 0:00,9.782673611
4/22/2024 0:00,9.738298611
4/23/2024 0:00,10.13618056
4/24/2024 0:00,10.40850694
4/25/2024 0:00,10.77652778
4/26/2024 0:00,10.99409722
4/27/2024 0:00,11.23736111
4/28/2024 0:00,17.5378125
4/29/2024 0:00,24.14545139
4/30/2024 0:00,23.73072917
5/1/2024 0:00,23.27284722
5/2/2024 0:00,22.61208333
5/3/2024 0:00,22.36013889
5/4/2024 0:00,22.69791667
5/5/2024 0:00,23.56701389
5/6/2024 0:00,24.09413194
5/7/2024 0:00,23.83430556
5/8/2024 0:00,23.63111111
5/9/2024 0:00,23.44055556
5/10/2024 0:00,23.39506944
5/11/2024 0:00,22.95774306
5/12/2024 0:00,22.64583333
5/13/2024 0:00,22.35114583
5/14/2024 0:00,21.88347222
5/15/2024 0:00,22.04107639
5/16/2024 0:00,21.90604167
5/17/2024 0:00,21.30091892
5/18/2024 0:00,21.24777778
5/19/2024 0:00,21.00364583
5/20/2024 0:00,20.42590278
5/21/2024 0:00,19.64020833
5/22/2024 0:00,18.75572917
5/23/2024 0:00,17.86378472
5/24/2024 0:00,16.97493056
5/25/2024 0:00,16.26829861
5/26/2024 0:00,15.68663194
5/27/2024 0:00,15.15788194
5/28/2024 0:00,14.80559028
5/29/2024 0:00,14.24635417
5/30/2024 0:00,13.815625
5/31/2024 0:00,13.70826667
